0.705	 0.1501707   0.1542110
0.706	 0.1596371   0.1650058
0.707	 0.1676928   0.1741126
0.708	 0.1764517   0.1839277
0.709	 0.1846311   0.1930250
0.71	 0.1934512   0.2027648
0.711	 0.2011691   0.2112531
0.712	 0.2094242   0.2202809
0.713	 0.2172674   0.2288412
0.714	 0.2255860   0.2378769
0.715	 0.2343864   0.2473921
0.716	 0.2437839   0.2575060
0.717	 0.2526403   0.2669913
0.718	 0.2620564   0.2770362
0.719	 0.2696841   0.2851687
0.72	 0.2776476   0.2936347
0.721	 0.2853248   0.3018062
0.722	 0.2933173   0.3102908
0.723	 0.3011794   0.3186289
0.724	 0.3094710   0.3273990
0.725	 0.3174005   0.3357600
0.726	 0.3256877   0.3444796
0.727	 0.3322368   0.3513819
0.728	 0.3390888   0.3585907
0.729	 0.3456764   0.3655339
0.73	 0.3524911   0.3727055
0.731	 0.3583751   0.3789115
0.732	 0.3584430   0.3791150
0.733	 0.3645915   0.3855755
0.734	 0.3705163   0.3918015
0.735	 0.3766130   0.3981933
0.736	 0.3811509   0.4029782
0.737	 0.3858790   0.4079613
0.738	 0.3904416   0.4127723
0.739	 0.3952015   0.4177800
0.74	 0.3984666   0.4212512
0.741	 0.4018696   0.4248502
0.742	 0.4051322   0.4283043
0.743	 0.4085394   0.4319017
0.744	 0.4120985   0.4356541
0.745	 0.4158175   0.4395744
0.746	 0.4191862   0.4431351
0.747	 0.4226102   0.4467458
0.748	 0.4240801   0.4483554
0.749	 0.4255753   0.4499750
0.75	 0.4268671   0.4513872
0.751	 0.4281650   0.4528057
0.752	 0.4294700   0.4542323
0.753	 0.4306760   0.4555734
0.754	 0.4317794   0.4568096
0.755	 0.4328550   0.4580205
0.756	 0.4338261   0.4591244
0.757	 0.4349236   0.4603442
0.758	 0.4356945   0.4612297
0.759	 0.4365763   0.4622173
0.76	 0.4373499   0.4630942
0.761	 0.4381072   0.4639472
0.762	 0.4387550   0.4646883
0.763	 0.4393908   0.4654069
0.764	 0.4398034   0.4658970
0.765	 0.4403196   0.4664809
0.766	 0.4406112   0.4668349
0.767	 0.4410322   0.4673200
0.768	 0.4411143   0.4674582
0.769	 0.4412123   0.4676186
0.77	 0.4413103   0.4677789
0.771	 0.4414304   0.4679518
0.772	 0.4415506   0.4681246
0.773	 0.4416918   0.4682927
0.774	 0.4418327   0.4684611
0.775	 0.4419844   0.4686288
0.776	 0.4421359   0.4687972
0.777	 0.4422865   0.4689704
0.778	 0.4424376   0.4691434
0.779	 0.4425862   0.4693139
0.78	 0.4427353   0.4694842
0.781	 0.4428707   0.4696287
0.782	 0.4430057   0.4697735
0.783	 0.4431437   0.4699082
0.784	 0.4432816   0.4700434
0.785	 0.4434223   0.4701712
0.786	 0.4435631   0.4702992
0.787	 0.4437053   0.4704241
0.788	 0.4438478   0.4705494
0.789	 0.4439908   0.4706759
0.79	 0.4441338   0.4708024
0.791	 0.4442682   0.4709231
0.792	 0.4444028   0.4710439
0.793	 0.4445368   0.4711663
0.794	 0.4446713   0.4712885
0.795	 0.4448081   0.4714071
0.796	 0.4449455   0.4715256
0.797	 0.4450877   0.4716358
0.798	 0.4452297   0.4717466
0.799	 0.4453723   0.4718535
0.8	 0.4455148   0.4719610
0.801	 0.4456176   0.4720360
0.802	 0.4457206   0.4721105
0.803	 0.4458187   0.4721896
0.804	 0.4459164   0.4722689
0.805	 0.4460106   0.4723513
0.806	 0.4461045   0.4724341
0.807	 0.4461957   0.4725193
0.808	 0.4462868   0.4726051
0.809	 0.4463755   0.4726929
0.81	 0.4464645   0.4727810
0.811	 0.4465436   0.4728611
0.812	 0.4466223   0.4729416
0.813	 0.4467007   0.4730232
0.814	 0.4467788   0.4731046
0.815	 0.4468578   0.4731861
0.816	 0.4469364   0.4732680
0.817	 0.4470178   0.4733506
0.818	 0.4470990   0.4734336
0.819	 0.4471831   0.4735167
0.82	 0.4472673   0.4735998
0.821	 0.4473462   0.4736768
0.822	 0.4474252   0.4737531
0.823	 0.4475045   0.4738292
0.824	 0.4475843   0.4739048
0.825	 0.4476642   0.4739807
0.826	 0.4477441   0.4740564
0.827	 0.4478240   0.4741322
0.828	 0.4479039   0.4742081
0.829	 0.4479836   0.4742845
0.83	 0.4480633   0.4743608
0.831	 0.4481371   0.4744318
0.832	 0.4482111   0.4745031
0.833	 0.4482839   0.4745753
0.834	 0.4483570   0.4746471
0.835	 0.4484288   0.4747197
0.836	 0.4485004   0.4747923
0.837	 0.4485709   0.4748658
0.838	 0.4486415   0.4749395
0.839	 0.4487109   0.4750134
0.84	 0.4487804   0.4750873
0.841	 0.4488449   0.4751578
0.842	 0.4489094   0.4752281
0.843	 0.4489733   0.4752986
0.844	 0.4490373   0.4753692
0.845	 0.4491005   0.4754405
0.846	 0.4491641   0.4755114
0.847	 0.4492273   0.4755826
0.848	 0.4492905   0.4756539
0.849	 0.4493535   0.4757257
0.85	 0.4494168   0.4757970
0.851	 0.4494755   0.4758645
0.852	 0.4495347   0.4759316
0.853	 0.4495946   0.4760002
0.854	 0.4496548   0.4760684
0.855	 0.4497148   0.4761371
0.856	 0.4497749   0.4762059
0.857	 0.4498349   0.4762746
0.858	 0.4498949   0.4763434
0.859	 0.4499547   0.4764126
0.86	 0.4500143   0.4764818
0.861	 0.4500693   0.4765461
0.862	 0.4501240   0.4766108
0.863	 0.4501782   0.4766759
0.864	 0.4502325   0.4767410
0.865	 0.4502864   0.4768065
0.866	 0.4503401   0.4768724
0.867	 0.4503933   0.4769386
0.868	 0.4504467   0.4770050
0.869	 0.4504985   0.4770713
0.87	 0.4505504   0.4771377
0.871	 0.4505976   0.4772007
0.872	 0.4506454   0.4772636
0.873	 0.4506918   0.4773273
0.874	 0.4507385   0.4773906
0.875	 0.4507843   0.4774544
0.876	 0.4508302   0.4775183
0.877	 0.4508753   0.4775823
0.878	 0.4509205   0.4776462
0.879	 0.4509648   0.4777107
0.88	 0.4510096   0.4777750
0.881	 0.4510502   0.4778365
0.882	 0.4510910   0.4778982
0.883	 0.4511316   0.4779597
0.884	 0.4511720   0.4780217
0.885	 0.4512135   0.4780849
0.886	 0.4512548   0.4781486
0.887	 0.4512974   0.4782136
0.888	 0.4513398   0.4782784
0.889	 0.4513825   0.4783436
0.89	 0.4514247   0.4784090
0.891	 0.4514626   0.4784700
0.892	 0.4515004   0.4785308
0.893	 0.4515384   0.4785920
0.894	 0.4515764   0.4786530
0.895	 0.4516147   0.4787137
0.896	 0.4516527   0.4787748
0.897	 0.4516909   0.4788361
0.898	 0.4517290   0.4788973
0.899	 0.4517676   0.4789583
0.9	 0.4518060   0.4790190
0.901	 0.4518415   0.4790761
0.902	 0.4518765   0.4791335
0.903	 0.4519115   0.4791900
0.904	 0.4519464   0.4792465
0.905	 0.4519819   0.4793029
0.906	 0.4520172   0.4793590
0.907	 0.4520523   0.4794157
0.908	 0.4520879   0.4794722
0.909	 0.4521234   0.4795285
0.91	 0.4521585   0.4795853
0.911	 0.4521913   0.4796404
0.912	 0.4522246   0.4796952
0.913	 0.4522568   0.4797504
0.914	 0.4522894   0.4798053
0.915	 0.4523207   0.4798611
0.916	 0.4523522   0.4799164
0.917	 0.4523825   0.4799719
0.918	 0.4524130   0.4800276
0.919	 0.4524298   0.4800716
0.92	 0.4524471   0.4801153
0.921	 0.4523653   0.4800599
0.922	 0.4522836   0.4800045
0.923	 0.4521436   0.4798910
0.924	 0.4520041   0.4797773
0.925	 0.4517774   0.4795765
0.926	 0.4515511   0.4793754
0.927	 0.4512102   0.4790577
0.928	 0.4508696   0.4787403
0.929	 0.4503864   0.4782776
0.93	 0.4499042   0.4778159
0.931	 0.4492611   0.4771895
0.932	 0.4486198   0.4765647
0.933	 0.4478628   0.4758215
0.934	 0.4471082   0.4750806
0.935	 0.4462993   0.4742832
0.936	 0.4454931   0.4734885
0.937	 0.4446898   0.4726959
0.938	 0.4438893   0.4719060
0.939	 0.4431148   0.4711419
0.94	 0.4423428   0.4703804
0.941	 0.4415932   0.4696416
0.942	 0.4408460   0.4689053
0.943	 0.4401218   0.4681923
0.944	 0.4394000   0.4674818
