0.51	 0.0438115	 0.0225951         0.0641357	 0.0552914             0.0595261	 0.048523           
0.511	 0.0447505	 0.0250487                 0.0669867	 0.0601022             0.0619005	 0.0527622  
0.512	 0.0458411	 0.0277034                 0.0700888	 0.0651852             0.0642197	 0.0568473  
0.513	 0.0470912	 0.0305358                 0.0734035	 0.0704492             0.0664136	 0.0606587  
0.514	 0.0484839	 0.0335079                 0.0768544	 0.0757846             0.0693207	 0.0653897  
0.515	 0.0500657	 0.0366623                 0.0805403	 0.081288              0.0726059	 0.0705038  
0.516	 0.0517508	 0.0399034                 0.0842173	 0.0866948             0.0751494	 0.0745142  
0.517	 0.0535717	 0.0432247                 0.0879108	 0.0919756             0.0785551	 0.079568   
0.518	 0.0554791	 0.0466001                 0.091538	 0.0970926             0.0816463	 0.0841168  
0.519	 0.0574716	 0.0499683                 0.0950119	 0.101869              0.0850359	 0.088921   
0.52	 0.0595069	 0.0533218         0.0982792	 0.106314              0.0887268	 0.0940391          
0.521	 0.061565	 0.0566031                 0.101274	 0.110314              0.0919171	 0.0983907  
0.522	 0.0636192	 0.0598043                 0.103945	 0.11385               0.0935789	 0.100711   
0.523	 0.0656128	 0.0628159                 0.106181	 0.11675               0.096224	 0.104208   
0.524	 0.0674961	 0.0656026                 0.107885	 0.118942              0.0980671	 0.106628   
0.525	 0.0692521	 0.0681155                 0.109078	 0.120419              0.099996	 0.109072   
0.526	 0.0708373	 0.0703625                 0.109728	 0.121222              0.10099	 0.110327           
0.527	 0.0722358	 0.0722969                 0.109843	 0.121325              0.103032	 0.112856   
0.528	 0.0734096	 0.0739038                 0.10943	 0.120777              0.104089	 0.114142        
0.529	 0.0743954	 0.0752082                 0.108613	 0.119691              0.105176	 0.115424   
0.53	 0.0751884	 0.0762395         0.10743	 0.118149              0.105207	 0.115387                
0.531	 0.0757864	 0.0769982                 0.105949	 0.116235              0.106327	 0.116705   
0.532	 0.0761862	 0.0774824                 0.104191	 0.11397               0.106375	 0.116689   
0.533	 0.0764217	 0.0777402                 0.10225	 0.111466              0.106421	 0.11667         
0.534	 0.0764967	 0.0777778                 0.100158	 0.108761              0.107562	 0.118009   
0.535	 0.0764388	 0.0776334                 0.0979919	 0.10595               0.108724	 0.11937    
0.536	 0.0762486	 0.0773403                 0.0957722	 0.103091              0.109897	 0.120776   
0.537	 0.0759964	 0.0769296                 0.0936	 0.100239              0.109944	 0.120758        
0.538	 0.0756536	 0.0764267                 0.0914332	 0.0974133             0.11114	 0.122189           
0.539	 0.075268	 0.0758642                 0.0893562	 0.0946853             0.112357	 0.123641   
0.54	 0.0747928	 0.0751773         0.0872892	 0.0919526             0.113596	 0.125116           
0.541	 0.0743944	 0.0745952                 0.085451	 0.0895027             0.113626	 0.125114   
0.542	 0.0739454	 0.0739742                 0.083674	 0.087152              0.114869	 0.126628   
0.543	 0.0735308	 0.0733675                 0.0820437	 0.0849479             0.114899	 0.126625   
0.544	 0.0731215	 0.072799                  0.0805288	 0.0829184             0.116165	 0.128164   
0.545	 0.0727815	 0.0723259                 0.0791938	 0.0811194             0.117457	 0.129729   
0.546	 0.0724435	 0.0718865                 0.0779513	 0.0794685             0.117468	 0.129782   
0.547	 0.07217	 0.0715364                 0.0768649	 0.078021              0.118773	 0.1314     
0.548	 0.0719077	 0.0712012                 0.0758654	 0.0766851             0.118785	 0.131454   
0.549	 0.0716959	 0.0709679                 0.0749943	 0.0755517             0.120107	 0.133129   
0.55	 0.0714387	 0.0706705         0.0741414	 0.074438              0.12011	 0.133212                   
0.551	 0.0711877	 0.0703811                 0.0733594	 0.0734171             0.120108	 0.13329    
0.552	 0.0708811	 0.0700444                 0.0725823	 0.0724304             0.120096	 0.133396   
0.553	 0.0705694	 0.0697312                 0.071862	 0.0715499             0.120075	 0.133531   
0.554	 0.070213	 0.0693535                 0.0711545	 0.0706827             0.120053	 0.133665   
0.555	 0.0698007	 0.0689269                 0.0704487	 0.0698451             0.120022	 0.133829   
0.556	 0.0692959	 0.0683666                 0.069706	 0.0689501             0.118669	 0.132392   
0.557	 0.0687862	 0.0678281                 0.0690145	 0.0681543             0.11733	 0.131006           
0.558	 0.0681871	 0.0671585                 0.0682873	 0.0673023             0.117289	 0.131195   
0.559	 0.0675486	 0.066428                  0.0675733	 0.0664636             0.11472	 0.128297           
0.56	 0.0669067	 0.0657195         0.0669067	 0.0657195             0.113438	 0.127001           
0.561	 0.0662099	 0.0649263                 0.0662099	 0.0649263             0.112187	 0.125737   
0.562	 0.0654375	 0.0640167                 0.0654375	 0.0640167             0.110955	 0.12449    
0.563	 0.064596	 0.0629983                 0.064596	 0.0629983             0.108599	 0.121836   
0.564	 0.063691	 0.0618773                 0.063691	 0.0618773             0.107428	 0.120647   
0.565	 0.0627288	 0.0606608                 0.0627288	 0.0606608             0.105187	 0.118107   
0.566	 0.0617159	 0.0593565                 0.0617159	 0.0593565             0.10302	 0.11564            
0.567	 0.0606592	 0.0579724                 0.0606592	 0.0579724             0.100924	 0.113243   
0.568	 0.0595655	 0.0565167                 0.0595655	 0.0565167             0.0998768	 0.11217    
0.569	 0.058441	 0.054997                  0.058441	 0.054997              0.0978789	 0.10987    
0.57	 0.0573263	 0.0534746         0.0573263	 0.0534746             0.0978285	 0.110068           
0.571	 0.0562039	 0.0518909                 0.0562039	 0.0518909             0.0959074	 0.107809   
0.572	 0.0551275	 0.0503613                 0.0551275	 0.0503613             0.0940459	 0.10561    
0.573	 0.0540953	 0.048884                  0.0540953	 0.048884              0.0931169	 0.104617   
0.574	 0.0531053	 0.0474572                 0.0531053	 0.0474572             0.0913424	 0.102506   
0.575	 0.0521925	 0.04611                   0.0521925	 0.04611               0.0896318	 0.100426   
0.576	 0.0513157	 0.0448072                 0.0513157	 0.0448072             0.0887811	 0.0994771  
0.577	 0.0505213	 0.0436274                 0.0505213	 0.0436274             0.087942	 0.0985394  
0.578	 0.0497791	 0.0425232                 0.0497791	 0.0425232             0.087116	 0.0976149  
0.579	 0.0490961	 0.0414786                 0.0490961	 0.0414786             0.0863115	 0.0966786  
0.58	 0.0484577	 0.0405006         0.0484577	 0.0405006             0.0847617	 0.0947305          
0.581	 0.0478609	 0.0395853                 0.0478609	 0.0395853             0.0832589	 0.0928323  
0.582	 0.047314	 0.0387193                 0.047314	 0.0387193             0.0818116	 0.0909611  
0.583	 0.0468032	 0.0379094                 0.0468032	 0.0379094             0.0804079	 0.0891371  
0.584	 0.0463258	 0.0371522                 0.0463258	 0.0371522             0.0797131	 0.0882829  
0.585	 0.0458987	 0.0364791                 0.0458987	 0.0364791             0.0790291	 0.0874401  
0.586	 0.0454821	 0.0358196                 0.0454821	 0.0358196             0.0777071	 0.0857043  
0.587	 0.0451045	 0.0351963                 0.0451045	 0.0351963             0.0770621	 0.0848717  
0.588	 0.0447591	 0.0346571                 0.0447591	 0.0346571             0.0764166	 0.0840699  
0.589	 0.044449	 0.0341497                 0.044449	 0.0341497             0.0764099	 0.0841295  
0.59	 0.0441617	 0.033681          0.0441617	 0.033681              0.0757838	 0.0833171          
0.591	 0.0439118	 0.0332791                 0.0439118	 0.0332791             0.0757754	 0.0833742  
0.592	 0.0436661	 0.0328828                 0.0436661	 0.0328828             0.0751574	 0.0825701  
0.593	 0.0434555	 0.0325502                 0.0434555	 0.0325502             0.0751488	 0.0826267  
0.594	 0.0432635	 0.0322508                 0.0432635	 0.0322508             0.0745394	 0.0818316  
0.595	 0.0431045	 0.0320121                 0.0431045	 0.0320121             0.0739387	 0.0810461  
0.596	 0.0429317	 0.0317465                 0.0429317	 0.0317465             0.0733459	 0.0802689  
0.597	 0.0427759	 0.031512                  0.0427759	 0.031512              0.0727622	 0.0795018  
0.598	 0.0426213	 0.0312791                 0.0426213	 0.0312791             0.0721859	 0.0787428  
0.599	 0.0424536	 0.0310204                 0.0424536	 0.0310204             0.0710683	 0.0771992  
0.6	 0.042299	 0.030756          0.042299	 0.030756              0.0705266	 0.0764486          
0.601	 0.0421061	 0.0304472                 0.0421061	 0.0304472             0.0699823	 0.0757251  
0.602	 0.0419015	 0.0301146                 0.0419015	 0.0301146             0.0689266	 0.0742517  
0.603	 0.0416837	 0.0297252                 0.0416837	 0.0297252             0.0679117	 0.0727954  
0.604	 0.0414177	 0.0292703                 0.0414177	 0.0292703             0.0674044	 0.0721139  
0.605	 0.0411553	 0.0287898                 0.0411553	 0.0287898             0.0664324	 0.0707076  
0.606	 0.0408602	 0.0282424                 0.0408602	 0.0282424             0.065488	 0.0693338  
0.607	 0.0405354	 0.0276324                 0.0405354	 0.0276324             0.065025	 0.0686739  
0.608	 0.0401962	 0.0269892                 0.0401962	 0.0269892             0.063679	 0.0666813  
0.609	 0.0398559	 0.0263086                 0.0398559	 0.0263086             0.062823	 0.065384   
0.61	 0.0395165	 0.025624          0.0395165	 0.025624              0.06158	 0.0634871                  
0.611	 0.0391785	 0.0249364                 0.0391785	 0.0249364             0.0615875	 0.0634987  
0.612	 0.0388428	 0.0242474                 0.0388428	 0.0242474             0.0603958	 0.0616647  
0.613	 0.038512	 0.0235318                 0.038512	 0.0235318             0.0596428	 0.060466   
0.614	 0.0381949	 0.0228388                 0.0381949	 0.0228388             0.0589106	 0.0592935  
0.615	 0.0378796	 0.0221732                 0.0378796	 0.0221732             0.058188	 0.0581613  
0.616	 0.0375975	 0.0215417                 0.0375975	 0.0215417             0.0574963	 0.0570402  
0.617	 0.0373354	 0.0209478                 0.0373354	 0.0209478             0.0575138	 0.0570365  
0.618	 0.0370918	 0.020389                  0.0370918	 0.020389              0.0571839	 0.0564835  
0.619	 0.0368812	 0.0198979                 0.0368812	 0.0198979             0.0572014	 0.0564799  
0.62	 0.0367008	 0.0194698         0.0367008	 0.0194698             0.056876	 0.055933           
0.621	 0.0365407	 0.0190841                 0.0365407	 0.0190841             0.0565545	 0.0553909  
0.622	 0.0364025	 0.0187763                 0.0364025	 0.0187763             0.0562269	 0.0548687  
0.623	 0.0362817	 0.0185056                 0.0362817	 0.0185056             0.0559037	 0.0543522  
0.624	 0.0361772	 0.0182704                 0.0361772	 0.0182704             0.0555845	 0.0538407  
0.625	 0.0360903	 0.0181053                 0.0360903	 0.0181053             0.055579	 0.0538629  
0.626	 0.0360229	 0.0179526                 0.0360229	 0.0179526             0.0555842	 0.0538713  
0.627	 0.0359648	 0.017852                  0.0359648	 0.017852              0.0555788	 0.0538934  
0.628	 0.0359088	 0.017787                  0.0359088	 0.017787              0.0555622	 0.0539288  
0.629	 0.035858	 0.0177024                 0.035858	 0.0177024             0.0552359	 0.053435   
