#  C1: wavelength(nm)  
#  C2: refraction index
#  C3: absorption by dry matter (Km (g.cm-2))
#  C4: absorption by chlorophyll a and b and carotenoids (kab (µg.cm-2))
#  C5: absorption by water (kw (cm-1=g.cm-2))
#  C6: absorption by brown pigments (relative units)

400.000         1.515721	104.684210	0.047207	0.000000	0.527183
773.000000	1.434168	2.241674	0.000000	0.031074	0.057734
774.000000	1.434135	2.238614	0.000000	0.030765	0.057036
775.000000	1.434118	2.235554	0.000000	0.030347	0.056337
776.000000	1.434100	2.232494	0.000000	0.029928	0.055638
777.000000	1.434074	2.229434	0.000000	0.029480	0.054940
778.000000	1.434049	2.226374	0.000000	0.029032	0.054241
779.000000	1.434024	2.223314	0.000000	0.028630	0.053543
780.000000	1.434000	2.220254	0.000000	0.028229	0.052844
781.000000	1.433992	2.217194	0.000000	0.027900	0.052258
782.000000	1.433983	2.214134	0.000000	0.027572	0.051673
783.000000	1.433992	2.211074	0.000000	0.027295	0.051087
784.000000	1.434000	2.208014	0.000000	0.027017	0.050501
785.000000	1.434022	2.204954	0.000000	0.026769	0.049915
786.000000	1.434044	2.201894	0.000000	0.026521	0.049329
787.000000	1.434072	2.198834	0.000000	0.026280	0.048744
788.000000	1.434100	2.195774	0.000000	0.026038	0.048158
789.000000	1.434127	2.192714	0.000000	0.025782	0.047572
790.000000	1.434154	2.189654	0.000000	0.025526	0.046986
791.000000	1.434177	2.186594	0.000000	0.025251	0.046464
792.000000	1.434200	2.183534	0.000000	0.024977	0.045941
793.000000	1.434220	2.180474	0.000000	0.024695	0.045419
794.000000	1.434241	2.177414	0.000000	0.024413	0.044896
795.000000	1.434270	2.174355	0.000000	0.024134	0.044374
796.000000	1.434300	2.171295	0.000000	0.023854	0.043851
797.000000	1.434348	2.168235	0.000000	0.023588	0.043329
798.000000	1.434395	2.165175	0.000000	0.023322	0.042806
799.000000	1.434448	2.162115	0.000000	0.023080	0.042284
800.000000	1.434500	2.159055	0.000000	0.022837	0.041762
801.000000	1.434541	2.158014	0.000000	0.022629	0.041283
802.000000	1.434583	2.156973	0.000000	0.022421	0.040805
803.000000	1.434612	2.155817	0.000000	0.022263	0.040326
804.000000	1.434640	2.154661	0.000000	0.022106	0.039848
805.000000	1.434659	2.153234	0.000000	0.022036	0.039369
806.000000	1.434677	2.151807	0.000000	0.021965	0.038891
807.000000	1.434688	2.149934	0.000000	0.022024	0.038413
808.000000	1.434698	2.148061	0.000000	0.022083	0.037934
809.000000	1.434702	2.145568	0.000000	0.022313	0.037456
810.000000	1.434706	2.143076	0.000000	0.022542	0.036977
811.000000	1.434707	2.139788	0.000000	0.022984	0.036565
812.000000	1.434707	2.136501	0.000000	0.023426	0.036153
813.000000	1.434705	2.132372	0.000000	0.024089	0.035741
814.000000	1.434703	2.128244	0.000000	0.024753	0.035330
815.000000	1.434702	2.123605	0.000000	0.025548	0.034918
816.000000	1.434700	2.118966	0.000000	0.026343	0.034506
817.000000	1.434701	2.114106	0.000000	0.027163	0.034094
818.000000	1.434701	2.109247	0.000000	0.027982	0.033682
819.000000	1.434705	2.104527	0.000000	0.028733	0.033270
820.000000	1.434709	2.099808	0.000000	0.029483	0.032858
821.000000	1.434714	2.095370	0.000000	0.030156	0.032489
822.000000	1.434720	2.090932	0.000000	0.030830	0.032121
823.000000	1.434727	2.086659	0.000000	0.031459	0.031753
824.000000	1.434735	2.082386	0.000000	0.032087	0.031385
825.000000	1.434743	2.078162	0.000000	0.032702	0.031016
826.000000	1.434751	2.073937	0.000000	0.033317	0.030648
827.000000	1.434759	2.069642	0.000000	0.033950	0.030280
828.000000	1.434767	2.065348	0.000000	0.034583	0.029912
829.000000	1.434774	2.060897	0.000000	0.035258	0.029543
830.000000	1.434781	2.056446	0.000000	0.035933	0.029175
831.000000	1.434787	2.051924	0.000000	0.036629	0.028847
832.000000	1.434793	2.047402	0.000000	0.037325	0.028518
833.000000	1.434796	2.042956	0.000000	0.038005	0.028189
834.000000	1.434800	2.038510	0.000000	0.038685	0.027861
835.000000	1.434801	2.034294	0.000000	0.039312	0.027532
836.000000	1.434802	2.030078	0.000000	0.039939	0.027204
837.000000	1.434800	2.026224	0.000000	0.040477	0.026875
838.000000	1.434798	2.022370	0.000000	0.041014	0.026546
839.000000	1.434794	2.018980	0.000000	0.041435	0.026218
840.000000	1.434790	2.015591	0.000000	0.041857	0.025889
841.000000	1.434784	2.012586	0.000000	0.042181	0.025590
842.000000	1.434778	2.009581	0.000000	0.042506	0.025291
843.000000	1.434771	2.006829	0.000000	0.042767	0.024993
844.000000	1.434764	2.004076	0.000000	0.043029	0.024694
845.000000	1.434755	2.001443	0.000000	0.043262	0.024395
846.000000	1.434747	1.998811	0.000000	0.043494	0.024096
847.000000	1.434738	1.996166	0.000000	0.043731	0.023797
848.000000	1.434729	1.993521	0.000000	0.043968	0.023498
849.000000	1.434719	1.990731	0.000000	0.044243	0.023199
850.000000	1.434710	1.987941	0.000000	0.044518	0.022900
